 time            1           2
   0.00000000E+00  0.16734090E-01 -0.16737854E-01 
   0.10599993E+01 -0.11832900E+00  0.12037854E+00 
   0.10699993E+01 -0.11948147E+00  0.12135603E+00 
   0.10799993E+01 -0.12062237E+00  0.12231024E+00 
   0.10899993E+01 -0.12175111E+00  0.12324054E+00 
   0.10999993E+01 -0.12286707E+00  0.12414628E+00 
   0.11099993E+01 -0.12396966E+00  0.12502685E+00 
   0.11199993E+01 -0.12505831E+00  0.12588166E+00 
   0.11299993E+01 -0.12613244E+00  0.12671009E+00 
   0.11399993E+01 -0.12719151E+00  0.12751158E+00 
   0.11499993E+01 -0.12823500E+00  0.12828551E+00 
   0.11599993E+01 -0.12926233E+00  0.12903139E+00 
   0.11699992E+01 -0.13027300E+00  0.12974866E+00 
   0.11799992E+01 -0.13126647E+00  0.13043678E+00 
   0.11899992E+01 -0.13224226E+00  0.13109526E+00 
   0.11999992E+01 -0.13319981E+00  0.13172361E+00 
   0.12099992E+01 -0.13413863E+00  0.13232137E+00 
   0.12199992E+01 -0.13505819E+00  0.13288808E+00 
   0.12299992E+01 -0.13595797E+00  0.13342328E+00 
   0.12399992E+01 -0.13683745E+00  0.13392659E+00 
   0.12499992E+01 -0.13769609E+00  0.13439754E+00 
   0.12599992E+01 -0.13853334E+00  0.13483573E+00 
   0.12699991E+01 -0.13934866E+00  0.13524081E+00 
   0.12799991E+01 -0.14014146E+00  0.13561235E+00 
   0.12899991E+01 -0.14091116E+00  0.13595000E+00 
   0.12999991E+01 -0.14165717E+00  0.13625336E+00 
   0.13099991E+01 -0.14237885E+00  0.13652207E+00 
   0.13199991E+01 -0.14307559E+00  0.13675575E+00 
   0.13299991E+01 -0.14374670E+00  0.13695407E+00 
   0.13399991E+01 -0.14439152E+00  0.13711666E+00 
   0.13499991E+01 -0.14500935E+00  0.13724315E+00 
   0.13599991E+01 -0.14559950E+00  0.13733323E+00 
   0.13699991E+01 -0.14616120E+00  0.13738653E+00 
   0.13799990E+01 -0.14669374E+00  0.13740274E+00 
   0.13899990E+01 -0.14719632E+00  0.13738152E+00 
   0.13999990E+01 -0.14766821E+00  0.13732257E+00 
   0.14099990E+01 -0.14810862E+00  0.13722560E+00 
   0.14199990E+01 -0.14851673E+00  0.13709031E+00 
   0.14299990E+01 -0.14889176E+00  0.13691644E+00 
   0.14399990E+01 -0.14923292E+00  0.13670374E+00 
   0.14499990E+01 -0.14954229E+00  0.13645500E+00 
   0.14599990E+01 -0.14985563E+00  0.13620581E+00 
   0.14699990E+01 -0.15018436E+00  0.13596684E+00 
   0.14799989E+01 -0.15052763E+00  0.13573726E+00 
   0.14899989E+01 -0.15088440E+00  0.13551630E+00 
   0.14999989E+01 -0.15125398E+00  0.13530350E+00 
   0.15099989E+01 -0.15163587E+00  0.13509865E+00 
   0.15199989E+01 -0.15202977E+00  0.13490175E+00 
   0.15299989E+01 -0.15243533E+00  0.13471273E+00 
   0.15399989E+01 -0.15285224E+00  0.13453154E+00 
   0.15499989E+01 -0.15328011E+00  0.13435815E+00 
   0.15599989E+01 -0.15371858E+00  0.13419248E+00 
   0.15699989E+01 -0.15416726E+00  0.13403448E+00 
   0.15799989E+01 -0.15462579E+00  0.13388412E+00 
   0.15899988E+01 -0.15509374E+00  0.13374130E+00 
   0.15999988E+01 -0.15557072E+00  0.13360600E+00 
   0.16099988E+01 -0.15605628E+00  0.13347813E+00 
   0.16199988E+01 -0.15654998E+00  0.13335764E+00 
   0.16299988E+01 -0.15705134E+00  0.13324441E+00 
   0.16399988E+01 -0.15755987E+00  0.13313834E+00 
   0.16499988E+01 -0.15807505E+00  0.13303936E+00 
   0.16599988E+01 -0.15859634E+00  0.13294728E+00 
   0.16699988E+01 -0.15912314E+00  0.13286200E+00 
   0.16799988E+01 -0.15965487E+00  0.13278335E+00 
   0.16899987E+01 -0.16019091E+00  0.13271117E+00 
   0.16999987E+01 -0.16073062E+00  0.13264528E+00 
   0.17099987E+01 -0.16127330E+00  0.13258547E+00 
   0.17199987E+01 -0.16181830E+00  0.13253154E+00 
   0.17299987E+01 -0.16236490E+00  0.13248329E+00 
   0.17399987E+01 -0.16291237E+00  0.13244049E+00 
   0.17499987E+01 -0.16346000E+00  0.13240293E+00 
   0.17599987E+01 -0.16400702E+00  0.13237038E+00 
   0.17699987E+01 -0.16455272E+00  0.13234262E+00 
   0.17799987E+01 -0.16509633E+00  0.13231944E+00 
   0.17899987E+01 -0.16563709E+00  0.13230060E+00 
   0.17999986E+01 -0.16617428E+00  0.13228592E+00 
   0.18099986E+01 -0.16670714E+00  0.13227518E+00 
   0.18199986E+01 -0.16723494E+00  0.13226819E+00 
   0.18299986E+01 -0.16775699E+00  0.13226478E+00 
   0.18399986E+01 -0.16827255E+00  0.13226478E+00 
   0.18499986E+01 -0.16878095E+00  0.13226801E+00 
   0.18599986E+01 -0.16928150E+00  0.13227434E+00 
   0.18699986E+01 -0.16977355E+00  0.13228366E+00 
