 TIME    1   2   3   4
          .00000          .00000          .00000          .00000          .00000
          .00125          .00000          .00000          .00000          .00000
          .00250          .00000          .00000          .00000          .00000
          .00375          .00000          .00000          .00000          .00000
          .00500          .00000          .00000          .00000          .00000
          .00625          .00000          .00000          .00000          .00000
          .00750          .00000          .00000          .00000          .00000
          .00875          .00000          .00000          .00000          .00000
          .01000          .00000          .00000          .00000          .00000
          .01125          .00000          .00000          .00000          .00000
          .01250          .00000          .00000          .00000          .00000
          .01375          .00000          .00000          .00000          .00000
          .01500
