     501       33    0   0   0   0   0   0
     503       34    0   0   0   0   0   0
     505       36    0   0   0   0   0   0
     508       38    0   0   0   0   0   0
     510       39    0   0   0   0   0   0
     512       40    0   0   0   0   0   0
     514       41    0   0   0   0   0   0
     517       43    0   0   0   0   0   0
     519       44    0   0   0   0   0   0
     521       45    0   0   0   0   0   0
     523       46    0   0   0   0   0   0
     526       48    0   0   0   0   0   0
     528       49    0   0   0   0   0   0
     530       50    0   0   0   0   0   0
     532       51    0   0   0   0   0   0
     535       53    0   0   0   0   0   0
     537       54    0   0   0   0   0   0
     539       55    0   0   0   0   0   0
     541       56    0   0   0   0   0   0
     543       57    0   0   0   0   0   0
     545       59    0   0   0   0   0   0
     547       60    0   0   0   0   0   0
     549       62    0   0   0   0   0   0
     551       63    0   0   0   0   0   0
     553       65    0   0   0   0   0   0
     556       67    0   0   0   0   0   0
     558       68    0   0   0   0   0   0
     560       69    0   0   0   0   0   0
